Code,Name,Market,entry,exit,entry_px,exit_px,ret,reason,hold_days,sell_tax
003520,영진약품,KOSPI,2016-03-25,2016-07-26,162.45443786982233,685.0177514792888,3.202763192467817,trend,123,0.003
257720,실리콘투,KOSDAQ,2024-03-21,2024-08-06,36.8666896551724,131.46068965517242,2.5583521286511273,trend,138,0.0018
001430,세아베스틸,KOSPI,2021-03-30,2021-07-20,73.03734939759023,118.23694779116443,0.6146475577917416,trend,112,0.0023
037270,YG PLUS,KOSPI,2025-05-29,2025-09-10,158.74524714828857,225.40380228136823,0.41735352918619073,trend,104,0.0015
006110,삼아알미늄,KOSPI,2021-08-20,2021-11-02,656.5485714285707,931.4666666666656,0.41504415207142875,trend,74,0.0023
031330,에스에이엠티,KOSDAQ,2026-05-07,2026-07-03,365.32689655172373,487.2993103448271,0.3308045331812788,trend,57,0.002
047310,파워로직스,KOSDAQ,2019-03-08,2019-04-29,208.00137931034448,260.3977011494248,0.24777306032150204,trend,52,0.003
103140,풍산,KOSPI,2024-04-05,2024-05-23,192.78987341772077,240.38625678119257,0.2442641156390586,trend,48,0.0018
079550,LIG넥스원,KOSPI,2023-12-04,2024-01-08,137.4997252747253,169.02939560439566,0.2267259936184447,trend,35,0.0018
000030,우리은행,KOSPI,2016-10-20,2017-05-30,95.99312977099217,116.94122137404551,0.21420536551726865,trend,222,0.003
031330,에스에이엠티,KOSDAQ,2021-06-15,2021-11-04,189.80413793103443,230.80183908045962,0.21283891282555634,trend,142,0.0023
009150,삼성전기,KOSPI,2025-09-04,2025-11-14,251.72195121951182,305.7001434720225,0.2122501206671854,trend,71,0.0015
000990,DB하이텍,KOSPI,2019-12-09,2020-02-28,274.6122994652402,333.55614973261964,0.2112433901673907,trend,81,0.0025
336570,원텍,KOSDAQ,2025-06-04,2025-08-04,308.49454545454483,368.65515151515086,0.19286281455050225,trend,61,0.0015
085370,루트로닉,KOSDAQ,2023-06-08,2023-07-17,234.83166023166012,280.51891891891876,0.19180617253152166,trend,39,0.002
005380,현대차,KOSPI,2021-01-05,2021-01-29,92.38930957683736,107.57951002227163,0.16138810580343366,trend,24,0.0023
004020,현대제철,KOSPI,2021-03-29,2021-05-18,56.44480286738358,65.46021505376352,0.15670603321402266,trend,50,0.0023
240810,원익IPS,KOSDAQ,2019-10-16,2020-01-29,189.5675675675678,218.78078078078101,0.15087348151460378,trend,105,0.0025
033240,자화전자,KOSPI,2020-12-18,2021-01-28,94.30588235294107,108.73350383631703,0.14999018534358632,trend,41,0.0023
121600,나노신소재,KOSDAQ,2021-11-08,2021-12-20,314.3178571428575,362.369047619048,0.14987749243181892,trend,42,0.0023
047810,한국항공우주,KOSPI,2022-05-03,2022-06-22,168.25026737967917,192.48413547237087,0.14106060434638112,trend,50,0.0023
047810,한국항공우주,KOSPI,2015-06-29,2015-08-20,274.3443850267375,313.4538324420671,0.13878616433478874,trend,52,0.003
005930,삼성전자,KOSPI,2017-03-22,2017-07-31,159.2177234530175,180.7683728036669,0.13160722771862132,trend,131,0.003
051910,LG화학,KOSPI,2017-08-23,2018-02-02,125.24999999999973,141.8390410958901,0.12871091784486488,trend,163,0.003
035720,카카오,KOSPI,2017-09-07,2017-10-26,150.88941176470587,170.83411764705883,0.12844531380734492,trend,49,0.003
046890,서울반도체,KOSDAQ,2017-04-26,2017-07-26,45.950803461062996,51.688751545117405,0.12116003130974251,trend,91,0.003
009150,삼성전기,KOSPI,2018-06-01,2018-07-23,192.6370157819224,215.49354375896687,0.11495976433218935,trend,52,0.003
069620,대웅제약,KOSPI,2017-08-29,2017-10-27,128.88272383354325,142.84110970996187,0.10464615046109427,trend,59,0.003
069080,웹젠,KOSDAQ,2020-07-28,2020-08-24,449.29288702928915,494.1283124128316,0.09671213336773699,trend,27,0.0025
050110,캠시스,KOSDAQ,2020-01-02,2020-01-29,139.61199999999977,153.02666666666642,0.09301676261038305,trend,27,0.0025
200710,에이디테크놀로지,KOSDAQ,2023-11-23,2024-01-15,187.15928571428572,204.58999999999992,0.09083781046189943,trend,53,0.0018
