peak,trough,recovery,drawdown,days_to_trough,days_to_recovery
2016-05-24,2017-01-05,2020-12-15,-0.3452016212215052,226,1666.0
2021-09-08,2024-04-08,2024-05-28,-0.3413503417988134,943,993.0
2024-06-21,2025-09-26,2026-02-20,-0.2720580899048902,462,609.0
2021-01-04,2021-04-19,2021-09-07,-0.25671217023587756,105,246.0
2026-06-04,2026-09-10,,-0.23067297873818737,98,
2026-02-20,2026-04-21,2026-05-13,-0.1615099115833386,60,82.0
2026-05-18,2026-05-20,2026-05-26,-0.09537946869521952,2,8.0
2020-12-17,2020-12-22,2020-12-30,-0.07368910395341066,5,13.0
2026-05-26,2026-06-01,2026-06-04,-0.05242389026367644,6,9.0
2016-04-26,2016-04-27,2016-05-10,-0.03518418058300776,1,14.0
